entity_id,entity_type,url,label,description,source_domain,thumbnail_url,provider,date,declared_at,harvested_at,harvest_path
856f21d9ba761c3ec5074dc166aa68c7,record,https://hdl.handle.net/10217/02.0015754,Jazz,Concert posters,hdl.handle.net,http://cdm17393.contentdm.oclc.org/utils/getthumbnail/collection/p17393coll64/id/5341,Plains to Peaks Collective,2023,,2026-05-21T17:44:28Z,api_dpla
a0277d919a6dda83914624c795fad5cc,record,http://n2t.net/ark:/65665/kq458574fc0-43d9-459f-a512-70fe44a3268f,Jazz,PAF,n2t.net,https://ids.si.edu/ids/deliveryService?id=CHSDM-CHP4854,Smithsonian Institution,1989,,2026-05-21T17:44:28Z,api_dpla
860fb09c982e6e8fb7289524a243e2df,record,http://n2t.net/ark:/65665/vk7d7c73d4f-8104-4546-a772-beaac2de9ce8,Jazz,Musical instruments,n2t.net,https://ids.si.edu/ids/deliveryService?id=SAAM-2014.9.7_1,Smithsonian Institution,1990,,2026-05-21T17:44:28Z,api_dpla
bbf7633bf5adbc2288b5bd48e266d052,record,https://n2t.net/ark:/65665/ng49ca746a6-0e59-704b-e053-15f76fa0b4fa,Jazz,,n2t.net,https://ids.si.edu/ids/deliveryService?id=NMAH-AHB2018q052252&max=150,Smithsonian Institution,,,2026-05-21T17:44:28Z,api_dpla
03b4ab2f021678adfcca8f2383172f40,record,http://hdl.handle.net/10217/42500,Jazz,Concert posters,hdl.handle.net,http://cdm17393.contentdm.oclc.org/utils/getthumbnail/collection/p17393coll64/id/3858,Plains to Peaks Collective,1998,,2026-05-21T17:44:28Z,api_dpla
adecd51fc78ce402540646ab9c048894,record,http://hdl.handle.net/10217/43490,Jazz,Exhibition posters,hdl.handle.net,http://cdm17393.contentdm.oclc.org/utils/getthumbnail/collection/p17393coll64/id/4506,Plains to Peaks Collective,1994,,2026-05-21T17:44:28Z,api_dpla
c1219286fb3f96cd24ae39eb468e6c95,record,https://digitalarchives.powerlibrary.org/papd/islandora/object/papd%3Apsepl-hiad2_452,Jazz,"Clarke, Charles M. (Mrs.)",digitalarchives.powerlibrary.org,https://digitalarchives.powerlibrary.org/papd/islandora/object/papd%3Apsepl-hiad2_452/datastream/TN/view/,PA Digital,1925-01-25,,2026-05-21T17:44:28Z,api_dpla
0727af4ab9ccb917ed24976ee5787774,record,https://digital.library.pitt.edu/islandora/object/pitt%3A31735030051985,Jazz on jazz. reel 3,Jazz--1981-1990,digital.library.pitt.edu,https://digital.library.pitt.edu/islandora/object/pitt%3A31735030051985/datastream/TN/view/Jazz%20on%20jazz.jpg,PA Digital,1983,,2026-05-21T17:44:28Z,api_dpla
a400bb8626055252c99a5d260077ac3a,record,https://digitalgallery.bgsu.edu/collections/item/33399,Jazz Week: Chamber Jazz Ensembles,,digitalgallery.bgsu.edu,https://digitalgallery.bgsu.edu/files/thumbnails/caa4237e39404fcfefd2c5f7099721c4.jpg,Ohio Digital Network,2016-03-18,,2026-05-21T17:44:28Z,api_dpla
d15f9fb22605ef2e53f636e77f158b77,record,https://digitalgallery.bgsu.edu/collections/item/34815,Jazz Week: Chamber Jazz Ensembles,,digitalgallery.bgsu.edu,https://digitalgallery.bgsu.edu/files/thumbnails/a90bc6a2cb0f5faca27a300832383629.jpg,Ohio Digital Network,3/30/2017,,2026-05-21T17:44:28Z,api_dpla
