entity_id,nucleus,label,sublabel,lens_id,translator_version
d2f7966d9d4a0baaed251cd34cd1b16b,d2f7966d9d4a0baaed251cd34cd1b16b,Jazz,Empire State Digital Network · 1947,web_declaration_v1,1.0.0
79ace2f94353b4e7f49fe2335b361905,79ace2f94353b4e7f49fe2335b361905,Jazz,Minnesota Digital Library · 2016,web_declaration_v1,1.0.0
348d9dc4be7f8b0d4459886c6a102ba6,348d9dc4be7f8b0d4459886c6a102ba6,Jazz,Smithsonian Institution · 1971,web_declaration_v1,1.0.0
cf3fb6595409d19a0060f920ac5639a1,cf3fb6595409d19a0060f920ac5639a1,Jazz,Smithsonian Institution · c. 1960,web_declaration_v1,1.0.0
c6ef5cab785f4ffa17512c096c9bbe70,c6ef5cab785f4ffa17512c096c9bbe70,Jazz,Plains to Peaks Collective · 1988-04-13,web_declaration_v1,1.0.0
ld1-1646149545906-1646150510742-0,ld1-1646149545906-1646150510742-0,The Cambridge companion to jazz / edited by Mervyn Cooke and David Horn,Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
sro-1663946979444-1663946989955-0,sro-1663946979444-1663946989955-0,Dancing IS the Jazz Age….Jazz is dancing music. Swing is Jazz music,Smithsonian Libraries and Archives · 2010s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149727294-1,ld1-1646149545906-1646149727294-1,"Discover jazz / [edited by] John Edward Hasse, Tad Lathrop",Smithsonian Libraries · 2010s,web_declaration_v1,1.0.0
ld1-1686732332010-1686732332025-1,ld1-1686732332010-1686732332025-1,The Oxford companion to jazz edited by Bill Kirchner,Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149602686-1,ld1-1646149545906-1646149602686-1,The real jazz,Smithsonian Libraries · 1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150217822-1,ld1-1646149545906-1646150217822-1,"Jazz/not jazz : the music and its boundaries / edited by David Ake, Charles Hiroshi Garrett, Daniel Goldmark",Smithsonian Libraries · 2010s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149969363-0,ld1-1646149545906-1646149969363-0,I like jazz,Smithsonian Libraries · 1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150255234-1,ld1-1646149545906-1646150255234-1,A new history of jazz / Alyn Shipton,Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150676285-0,ld1-1646149545906-1646150676285-0,The world of jazz / Rodney Dale,Smithsonian Libraries · 1980s,web_declaration_v1,1.0.0
ld1-1682428074342-1682428074671-0,ld1-1682428074342-1682428074671-0,The history of jazz by Ted Gioia,Smithsonian Libraries · 2020s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150956262-1,ld1-1646149545906-1646150956262-1,"Jazz: the transition years, 1940-1960 [by] John S. Wilson",Smithsonian Libraries · 1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149995397-1,ld1-1646149545906-1646149995397-1,Jazz journal and jazz & blues,Smithsonian Libraries · 1970s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149884396-1,ld1-1646149545906-1646149884396-1,Jazz people with photographs by the author,Smithsonian Libraries · 1970s,web_declaration_v1,1.0.0
ld1-1682428074342-1682428074663-0,ld1-1682428074342-1682428074663-0,Latin jazz the other jazz Christopher Washburne,Smithsonian Libraries · 2020s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149571316-0,ld1-1646149545906-1646149571316-0,"The new edition of the encyclopedia of jazz : completely revised, enlarged and brought up to date / by Leonard Feather ; appreciations by Duke Ellington, Benny Goodman and John Hammond",Smithsonian Libraries · 1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150522405-0,ld1-1646149545906-1646150522405-0,The history of jazz,Smithsonian Libraries · 1960s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150524143-1,ld1-1646149545906-1646150524143-1,Jazz profiles. Jazz in song [sound recording],Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1660639900692-1660639901099-0,ld1-1660639900692-1660639901099-0,"Sight readings photographers and American jazz, 1900-1960 Alan Ainsworth ; foreword by Darius Brubeck",Smithsonian Libraries · 1920s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150522341-0,ld1-1646149545906-1646150522341-0,"NEA jazz in the schools jazz, an American story produced by Jazz at Lincoln Center",Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150114083-2,ld1-1646149545906-1646150114083-2,The rise of a jazz art world / Paul Lopes,Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149688165-1,ld1-1646149545906-1646149688165-1,Riffs & choruses : a new jazz anthology / edited by Andrew Clark,Smithsonian Libraries · 2000s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149719743-0,ld1-1646149545906-1646149719743-0,Jazz : new perspectives on the history of jazz / by twelve of the world's foremost jazz critics and scholars ; edited by Nat Hentoff and Albert J. McCarthy,Smithsonian Libraries · 1950s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150206942-2,ld1-1646149545906-1646150206942-2,Blue notes in black and white : photography and jazz / Benjamin Cawthra,Smithsonian Libraries · 1920s,web_declaration_v1,1.0.0
ld1-1646149545906-1646150938686-2,ld1-1646149545906-1646150938686-2,The culture of jazz : jazz as critical culture / Frank A. Salamone,Smithsonian Libraries · 1920s,web_declaration_v1,1.0.0
ld1-1646149545906-1646149971386-0,ld1-1646149545906-1646149971386-0,Jazz in China : from dance hall music to individual freedom of expression / Eugene Marlow,Smithsonian Libraries · 2010s,web_declaration_v1,1.0.0
